Designator,Mid X,Mid Y,Rotation,Layer
C1,72.8726,-101.8,180.0,top
C2,72.8,-87.1,180.0,top
J1,95.36,-82.3,90.0,bottom
J2,89.53,-108.0,90.0,bottom
J4,72.7,-61.83,180.0,top
J5,95.2,-113.7,90.0,top
R1,110.8,-78.69,90.0,bottom
R2,110.5,-64.2,90.0,bottom
R3,97.19,-86.6,0.0,bottom
R4,106.861599,-82.7,280.0,bottom
SW1,107.7,-123.55,0.0,top
SW2,95.0,-123.5,0.0,top
SW3,82.6,-123.55,0.0,top
SW4,117.65,-71.7,270.0,top
SW5,117.65,-61.75,270.0,top
SW6,73.2,-121.91,270.0,top
U2,82.8,-94.2,270.0,top
U4,94.7,-63.6,0.0,top
